ID	Number_of_flowers
C067	1248.4
W048	1502.8
C013	1279.4
W039	2304.4
W094	1297.6
C141	1259.2
C088	679.0
C151	1213.2
C165	1006.4
C072	1124.0
W062	2210.8
C162	953.6
W025	2465.0
W316	2092.6
W300	1976.4
C187	815.2
C119	1144.4
C146	1110.75
W059	1495.4
W016	571.0
W309	3265.0
W227	2713.2
W228	1936.2
W183	2678.2
W313	2710.0
W041	1087.6
W271	2237.4
W103	1526.6
W024	1353.8
W102	696.2
W284	1936.6
W244	2058.4
W126	3240.0
W276	2552.6
W034	1996.6
W033	1912.6
C051	2183.6
W205	2211.0
W013	1466.8
W241	3412.6
W049	2211.4
W236	2853.6
W170	2497.2
W311	2903.4
W184	2434.4
W185	2370.0
W308	1953.8
W191	2065.2
C189	706.6
W234	2208.8
C025	1530.4
C078	780.6
C143	457.6
W318	3407.8
C102	1167.2
W004	1219.2
W159	2570.2
W065	1646.6
W017	1622.0
W055	1009.8
W042	2446.4
W014	1625.0
W051	2625.8
W251	1498.4
W246	2931.4
W280	2156.4
W263	3036.4
W252	1747.6
C001	866.5
W015	3085.6
W254	1308.4
C055	907.8
C186	1454.6
C038	1058.8
C090	1031.4
W097	1507.8
W075	2649.6
W008	1650.0
W010	1597.4
W253	1576.0
W111	1666.8
C006	1022.4
C007	1635.4
C085	894.2
W160	1803.2
W011	1594.2
W135	2716.4
W281	1876.4
C036	1165.4
W070	2857.6
C120	1007.4
W179	3103.6
W328	731.6
W113	2079.4
W031	2465.2
W099	2126.2
W060	1283.8
W072	1386.0
W100	2724.4
W093	1781.6
C064	1092.4
W235	3024.2
C008	1231.4
W005	2224.2
C123	1219.6
W128	2380.8
C012	1430.4
W074	1914.4
C041	1123.0
C068	1475.8
C169	1305.6
W056	2687.8
W220	2166.6
W076	1857.0
W218	2941.8
W121	1698.0
W133	1887.4
W249	1187.0
W186	-9.0
C044	718.0
W240	2356.6
W030	2460.0
W115	2353.6
C089	1040.0
W032	2278.4
W245	1171.6
W171	2526.6
W054	2362.4
W272	2341.2
W216	2712.2
W259	3033.6
W238	2202.8
W285	1453.4
W260	1577.8
W080	2854.2
W098	2757.2
W018	907.6
W063	1073.6
W119	1404.8
C180	877.2
W023	2659.8
W116	1316.0
W006	1395.0
W123	1755.25
C026	1069.8
W320	567.4
C099	936.5
C100	767.0
C105	837.25
C109	565.6
C115	1117.6
C139	926.33
C062	848.4
W109	721.2
W026	2345.0
W268	3409.8
C192	944.6
W206	1795.2
C134	829.4
C140	703.0
W229	3302.8
W230	1994.4
W231	2621.4
C121	1374.25
C021	1032.6
C190	1402.17
C110	1035.25
C130	1019.4
C093	953.6
C170	1043.2
C046	1506.0
C113	940.75
C202	958.4
C095	783.25
C135	1342.0
C111	1014.5
C171	1017.0
C054	1638.67
C131	1168.6
C168	1430.2
W161	3104.0
C061	1360.8
C188	839.4
C035	695.2
W247	2568.6
W270	2591.2
C201	1262.4
W125	2164.2
W087	1471.0
C070	671.4
C191	1392.6
W162	3476.2
W163	4918.2
W207	1699.6
W267	2744.6
W266	-9.0
C103	736.8
C196	1116.0
C048	1163.2
C163	1051.33
W164	2983.6
C203	726.8
C136	916.6
C175	1262.0
C145	1216.2
C024	940.2
W165	3181.2
W208	1762.0
C149	1067.8
C172	986.0
C034	1458.0
C193	1146.6
W166	3498.6
C159	1209.8
W167	2634.0
W324	979.2
C198	1217.25
W255	2953.2
