ID	paniclelength	numberofprimary	secondarybranchnumber	primarybranchlength	secondarybranchlength	spikeletsperprimarybranch	spikeletspersecondarybranch	spikeletsperpanicle
W132	28.23333333	9.666666667	39.33333333	13.66666667	3.133333333	6.166666667	3.666666667	127.4464286
C155	21.9	9	38.33333333	13.11666667	3.45	5.166666667	4.333333333	128.15
W006	27.13333333	12	31.66666667	9.85	2.216666667	6.166666667	3	128.3529412
W156	26.06666667	13.66666667	41.66666667	12.05	2.666666667	6.333333333	3	128.8518519
W057	30.4	13.66666667	34.66666667	11.81666667	2.45	6.833333333	3	129.0714286
C073	26.03333333	13.33333333	30.66666667	10.4	2.35	6.333333333	2.833333333	129.09375
W079	27	13.66666667	25.33333333	11.56666667	2.1	6.5	2.833333333	129.2702703
W085	24.63333333	12.33333333	35	12.45	2.533333333	6.333333333	3	129.4333333
W023	25.2	12.33333333	42	10.91666667	2.633333333	5.666666667	3.166666667	129.4857143
C118	NA	NA	NA	NA	NA	NA	NA	130.2368421
W182	23.56666667	11	28	13.73333333	3.166666667	7	3.5	130.3333333
C124	27.1	13.33333333	39.33333333	13.18333333	2.783333333	6.333333333	3	130.3962264
C067	24.33333333	11.33333333	36	8.766666667	2	5.833333333	3.5	130.5
W058	25.26666667	13.66666667	35.66666667	10.63333333	2.5	6.833333333	3.166666667	130.66
C037	24.23333333	14	46.33333333	12.8	2.783333333	6.166666667	3	130.78
W160	16.9	11.66666667	27.66666667	7.083333333	1.616666667	5.666666667	2.666666667	131.5
W164	24.56666667	8.666666667	45.33333333	14.91666667	4.816666667	5	6	131.6756757
W129	32.33333333	12.66666667	35	12.85	2.85	6.833333333	3.166666667	131.7857143
W122	36.6	14	47.5	14.075	2.75	7	3.25	131.9111111
W296	26.5	10.66666667	25.33333333	10.81666667	2.416666667	6	3	132
W072	32.46666667	11	38.66666667	14.23333333	2.95	5.833333333	3.5	133.0833333
C165	25.7	13.66666667	44.66666667	11.63333333	2.383333333	6	3.166666667	133.1891892
W248	29.13333333	9.666666667	40.33333333	15.11666667	2.766666667	6.5	3.166666667	133.3921569
C137	30.93333333	12	38	12.91666667	2.416666667	5.666666667	3.166666667	135.2962963
C130	NA	NA	NA	NA	NA	NA	NA	135.8205128
W003	NA	NA	NA	NA	NA	NA	NA	136.3636364
W060	23	8.666666667	30.66666667	11.41666667	2.933333333	5.333333333	4.333333333	136.6666667
W230	NA	NA	NA	NA	NA	NA	NA	137.3333333
W005	23.76666667	16.33333333	61	9.183333333	2.2	6	4.333333333	137.8648649
W260	29.53333333	13	39.33333333	12.18333333	2.9	6.166666667	3.5	137.9166667
W084	27.56666667	10	36.33333333	12.45	3.283333333	5.666666667	4	138.0487805
W134	28.83333333	10.66666667	38.33333333	12.91666667	3.366666667	5.5	3.833333333	138.1
W257	30.8	14	36.5	12.95	2.733333333	6.166666667	3	138.3478261
W181	29.16666667	12.33333333	31.33333333	12.25	2.583333333	6.333333333	3	138.5675676
C071	NA	NA	NA	NA	NA	NA	NA	138.6904762
W075	26.36666667	14	43.5	11.96666667	2.5	6.5	3.166666667	138.9361702
C148	23.9	12	41	11.48333333	3.166666667	6.166666667	3.666666667	139
C046	28.03333333	9	32.33333333	13.88333333	3.816666667	4.833333333	4	139.0961538
C193	25.63333333	10	34	12.23333333	2.283333333	5.833333333	3	139.3214286
C070	22.36666667	13.66666667	34.66666667	9.35	1.95	6	3	139.3888889
W258	36.2	11.66666667	27.66666667	12.8	2.45	7	3.166666667	139.9487179
W303	26.46666667	13	35	10	2.333333333	6.166666667	3.333333333	140.4347826
C169	29.23333333	10.33333333	39	12.91666667	3.15	6	3.333333333	140.8378378
W123	29.93333333	13.66666667	43	9.866666667	2.15	6.5	3	141.0666667
W111	NA	NA	NA	NA	NA	NA	NA	141.2307692
W008	31.03333333	14	38.33333333	13.3	3.116666667	6.666666667	3.666666667	141.5666667
C087	NA	NA	NA	NA	NA	NA	NA	141.65
W126	25.2	11.33333333	38	12.65	2.85	5.166666667	3.166666667	141.7727273
C041	25.43333333	16	50.33333333	11.86666667	2.783333333	7	3.833333333	142.0416667
W215	23.3	11.33333333	26	11.01666667	2.75	6	3	142.5714286
C134	NA	NA	NA	NA	NA	NA	NA	143
C168	22.56666667	13	41	10.13333333	1.95	6.5	3	143.4
C050	27.23333333	11.33333333	38.66666667	13.45	3.15	5.666666667	3.166666667	143.6451613
