"ID","Heading_date/days","Plant_height/cm","Leaf_length/cm","Leaf_width/cm","Tiller_angle/<U+00B0>","Full_grain_number_per_plant","Valid_panicle_number","Full_grain_number_per_panicle","Kilo-grain_weight/g","Seed_setting_rate.(%)","Yield_per_plant/g","Amylose_content","Gel_consistency","Chalkiness","Chalky_grain_percentage","Grain_shape(Length_to_width_ratio_of_polished_grain)","Grain_translucency_level","X19"
"ZJN986",89,105.67,34.43,1.87,79.7,833,6,139.6,29.89,0.71,20.04,18.245,85,5.76,19.12,2.957,2,NA
"ZJN987",88,113,39.87,1.67,71,1663,11.67,143.55,25.25,0.62,37.05,16.405,84.5,3.51,13.5,3.239,2,NA
"ZJN988",94,109,38.63,1.63,80.7,1031,7.33,141.85,27.49,0.81,24.08,20.435,81.5,3.41,10.92,3.341,1,NA
"ZJN989",83,107.67,50.37,2.1,79.3,1640,9,185.26,30.32,0.76,43.55,13.98,80,7.02,25.36,3.219,2,NA
"ZJN992",87,118.33,52.03,2.07,85.3,1742,9.33,187.08,27.93,0.63,43.38,19.88,90,4.1,16.05,3.044,1,NA
"ZJN995",85,116.67,38,1.57,85.3,1238,10,128.14,29.14,0.66,30.74,15.145,84,3.86,15.02,3.177,2,NA
"ZJN996",95,125.67,45.37,2.23,74.3,1187,7.67,157.39,34.75,0.75,33.98,19.86,90,3.86,20.97,3.204,1,NA
"ZJN998",84,120.33,44.67,2.07,61.7,1472,9.33,164.39,27.38,0.64,36.52,18.22,85,2.88,9.9,3.626,1,NA
"ZJN999",98,123.33,47.7,2.3,76.3,1028,7,147.15,25.14,0.73,22.18,19.855,81,1.48,4.99,3.222,1,NA
"ZJN1001",90,120,53.73,2.4,78.7,1548,8,197.49,28.37,0.71,37.32,17.125,89,2.83,13.68,3.291,2,NA
"ZJN1004",98,124.33,47.97,1.77,85.7,1392,10,139.23,29.97,0.75,34.38,18.745,85.5,2.8,12.12,3.351,1,NA
"ZJN1005",88,115.33,53.7,2.13,81,722,5,144.26,26.58,0.6,16.87,17.605,81,6.91,28.33,2.907,2,NA
"ZJN1008",76,88.67,39.97,1.53,83,748,9.33,81.79,24.35,0.73,16.08,13.665,84,4.7,18.64,3.276,2,NA
"ZJN1011",92,121.33,43.97,2.03,85,1151,7.67,144.48,26.1,0.73,25.48,17.425,94.5,1.28,5.47,3.228,1,NA
"ZJN1013",92,127.33,47.97,1.97,77.7,1354,7.67,176.63,26.79,0.78,31.22,17.245,87.5,2.84,11.96,3.004,1,NA
"ZJN1014",85,116.33,54.9,2.03,85.7,1030,6.33,158.05,28.26,0.79,25.86,17.35,87.5,3.62,15.58,2.992,2,NA
"ZJN1015",75,128.67,62.1,2.4,82.7,1818,7,254.77,29.48,0.81,47.02,25.015,89,7.19,27.83,2.94,2,NA
"ZJN1016",90,129.67,61.1,1.97,78.7,1934,10,193.66,29.81,0.87,49.22,18.06,91.5,3.89,15.2,3.117,1,NA
"ZJN1019",91,120.67,48.43,2.63,79.7,1562,5.67,276.65,25.7,0.79,35,17.44,94.5,2.24,8.84,2.909,2,NA
"ZJN1023",92,122.33,42.13,2.3,83.3,1328,6.33,209.24,28.56,0.76,32.61,16.22,91,2.2,9.45,3.392,2,NA
"ZJN1027",83,113.67,52.9,2.4,78.3,982,5,204.6,26.85,0.75,25.14,15.04,91,6.19,23.51,3,2,NA
"ZJN1029",86,124,52.93,1.97,73.3,938,4.67,199.82,27.72,0.81,23.12,17.34,90,3.13,13.04,3.286,2,NA
"ZJN1032",87,119,58.1,1.93,85,1244,7,177.46,28.96,0.63,31.8,24.4,84.5,8.4,28.82,3.181,2,NA
"ZJN1036",90,125,43.47,2.5,84.3,1683,7.33,228.36,30.83,0.68,43.53,18.785,90,5.47,19.76,2.934,1,NA
"ZJN1037",89,115,52.73,1.83,85.3,3107,17,186.47,25.58,0.66,69.33,24.68,82,4.62,17.11,3.047,2,NA
"ZJN1038",86,132,52.63,1.87,86.3,1544,8,195.44,29.68,0.66,41.64,18.59,87.5,2.34,9.36,3.24,1,NA
"ZJN1039",90,122.67,39.9,2.23,81,2766,12.33,224.97,29.36,0.8,70.29,17.045,92,3.84,15.63,2.906,2,NA
"ZJN1042",84,116,57.33,2.07,83.3,1771,8.33,212.76,29,0.82,46.7,14.295,90,5.68,21.33,2.983,2,NA
"ZJN1044",91,122.67,43.43,2.13,78.3,1727,7.67,216.52,26.46,0.75,41.01,16.495,91.5,6,23.05,3.164,2,NA
"ZJN1045",85,116,45.77,1.83,83.3,882,5,173.17,29.02,0.61,23.17,15.97,90,9.2,32.42,3.244,3,NA
"ZJN1046",93,126.67,48.1,2.23,82.3,2502,15,165.06,27.03,0.55,61.04,17.715,88,3.93,16.67,3.172,2,NA
"ZJN1055",94,119.5,49.07,1.87,77.3,1257,7,177.63,31.33,0.73,35.11,24.99,91.5,5.41,21.98,3.462,2,NA
"ZJN1059",85,119.33,45.03,2.07,82,1139,5,227.2,30.26,0.7,31.78,16.595,90,4.17,18.29,2.613,2,NA
"ZJN1072",82,114.33,57.17,1.93,80,1640,6,277.57,28.32,0.8,41.56,17.835,86,5.52,21.07,3.055,2,NA
"ZJN1074",88,124.33,32.13,1.87,84,1189,7,167.53,24.79,0.77,25,17.21,89,3.14,11.37,3.409,2,NA
"ZJN1075",92,134.33,37.8,1.77,75,1849,9,207.01,29.36,0.87,46.69,18.36,92.5,2.81,11.57,3.123,1,NA
"ZJN1078",88,124.33,44.97,2.47,70,1547,5.67,259.39,26.06,0.61,36.7,25.08,98,7.76,30.1,2.874,2,NA
"ZJN1080",89,119.33,39.5,1.83,82,2184,12.33,176.86,25.36,0.71,51.43,15.905,97,5.81,21.28,3.279,2,NA
"ZJN1082",87,124,38.07,2.07,85.7,1226,7.67,161.57,27.26,0.62,29.96,24.38,96,7.69,28.03,3.029,2,NA
"ZJN1085",77,118,47.83,2.3,79.3,1771,9.33,193.33,24.48,0.86,40.71,11.55,86,19.9,32.24,3.097,2,NA
"ZJN1086",94,129.67,37,2.33,86,1104,7.67,146.8,29.63,0.67,29.19,13.87,86,6.45,19.94,3.209,3,NA
"ZJN1087",94,140,44.73,2.17,80,1591,8,186.44,30.06,0.91,40.15,16.585,88,3.36,13.1,3.101,2,NA
"ZJN1088",86,119.33,44,1.83,83.7,1914,10.33,183.89,29.68,0.7,51.52,24.75,84.5,7.88,37.5,3.243,2,NA
"ZJN1089",88,133.33,55.03,1.97,80.7,2258,6.5,341.25,27.74,0.73,52.71,24.08,88,4.7,18.13,3.087,2,NA
"ZJN1091",90,125.33,32,2.47,83.7,1540,6.33,242.44,25.91,0.76,32.24,16.425,87,4.34,19.6,3.084,2,NA
"ZJN1092",86,120,31.97,2.03,85.3,1792,8.33,211.75,25.15,0.75,37.65,17.2,96,6.66,27.32,2.942,2,NA
"ZJN1095",87,126,42.27,1.77,83,2171,9.5,226.15,21.45,0.91,40.95,16.63,85.5,3.03,10.29,3.027,1,NA
"ZJN1100",89,130.33,53.97,1.97,70,1862,8.33,224.28,26.94,0.73,45.04,15.035,90,5.25,18.93,3.152,2,NA
"ZJN1101",85,102,51.67,1.83,86,1336,8.67,153.2,29,0.68,34.87,21.18,75,7.6,31.02,3.277,2,NA
