ID	env	paniclelength	numberofprimary	secondarybranchnumber	primarybranchlength	secondarybranchlength	spikeletsperprimarybranch	spikeletspersecondarybranch	spikeletsperpanicle
W256	2013HN	24.9	8	15.33333333	12.36666667	3.95	5.333333333	4.333333333	78.18181818
W175	2013HN	22.53333333	6.666666667	15.33333333	10.3	3.15	5.833333333	3.5	78.21875
C194	2013HN	21.46666667	8.666666667	19	8.85	2.533333333	6	3.166666667	78.3
W104	2013HN	21.4	7.666666667	20.66666667	10.08333333	2.833333333	5.5	4.5	78.45454545
W269	2013HN	20.16666667	8	24.33333333	10.08333333	2.916666667	4.666666667	3.166666667	78.56521739
C161	2013HN	20.2	7.666666667	17.66666667	8.216666667	1.783333333	5.666666667	2.166666667	79.75
W094	2013HN	22.53333333	7.666666667	18.66666667	9.933333333	2.433333333	5	2.666666667	80.75
W301	2013HN	23.9	7.666666667	22.33333333	12.06666667	3.833333333	4.833333333	3.333333333	80.81818182
W034	2013HN	22.93333333	6.666666667	17	10.05	2.783333333	5.666666667	3.166666667	80.90909091
W235	2013HN	21.73333333	8.333333333	20	9.25	2.15	6	3	81.70833333
C155	2013HN	18.36666667	8	17.33333333	9.666666667	2.333333333	5	2.5	81.8
W029	2013HN	26.56666667	9.333333333	28	11.48333333	2.783333333	6.166666667	3.333333333	81.90322581
W073	2013HN	22.26666667	8.333333333	24	11.28333333	3.35	5	3.333333333	81.96666667
C078	2013HN	20.7	10	30	8.35	2.233333333	4.833333333	3.166666667	82.26666667
W283	2013HN	17.4	11	23.5	7.983333333	2.083333333	5.5	4.5	82.5
C106	2013HN	19.86666667	9.333333333	19.66666667	8.566666667	2.783333333	5.333333333	4.666666667	82.77777778
W164	2013HN	18.06666667	6.333333333	25	9.033333333	3.25	4.333333333	4.166666667	82.93333333
W066	2013HN	20.1	6.666666667	18	10.41666667	3.05	5.833333333	4	83.05882353
W071	2013HN	21.83333333	6.333333333	20.33333333	11	3.266666667	5.333333333	4.833333333	83.09433962
W108	2013HN	21.23333333	9	20.66666667	9.516666667	2.783333333	6	3.833333333	83.51612903
C139	2013HN	22	8.666666667	18.33333333	9.533333333	2.916666667	5.833333333	3	83.62962963
C128	2013HN	19.75	9.5	18	10.85	2.783333333	5.833333333	3	83.85
W203	2013HN	19.7	9.333333333	20	9.716666667	2.6	5.5	3.166666667	84.32142857
W042	2013HN	21.56666667	10.33333333	23.66666667	10.06666667	2.2	6.166666667	3	84.36363636
W271	2013HN	17.96666667	7.333333333	21.33333333	10.225	3.375	5.333333333	4.666666667	84.44444444
W087	2013HN	16.46666667	9	20.33333333	8.516666667	2.6	5.833333333	3.166666667	84.46666667
W258	2013HN	25.03333333	9	18	13.26666667	4.1	6.333333333	4.5	85.04347826
W183	2013HN	23.3	8	26.33333333	12.15	3.45	5	3.333333333	85.06896552
W052	2013HN	15.13333333	7	17.66666667	8.6	2.716666667	4.833333333	4.166666667	85.2
W098	2013HN	24.63333333	10.66666667	26	10.41666667	2.383333333	6.166666667	3	85.6
W324	2013HN	19.76666667	5	8.666666667	10.93333333	3.6	5.666666667	3.833333333	86.16216216
W211	2013HN	19.86666667	7.666666667	18	10.36666667	3.766666667	5	3.833333333	86.425
C033	2013HN	18.06666667	8.333333333	21.33333333	9.55	2.866666667	6.333333333	3.333333333	86.5625
W214	2013HN	20.73333333	7.333333333	19.66666667	9.8	2.883333333	6	3.5	86.61290323
W061	2013HN	16.66666667	9.333333333	22	9.75	3.016666667	5	4	87.13333333
W118	2013HN	20.56666667	11	11	9.233333333	1.966666667	6	2.666666667	87.18181818
W327	2013HN	15.66666667	11.66666667	18.66666667	6.766666667	1.85	5.333333333	2.666666667	87.68571429
W082	2013HN	19.96666667	11	10.66666667	9.366666667	2.533333333	5.5	3.166666667	87.69230769
C179	2013HN	21.03333333	8.666666667	17	9.25	2.483333333	5.833333333	3.5	87.9375
C177	2013HN	23.06666667	12.66666667	18.33333333	9.55	2.283333333	5.666666667	3	88.33333333
C070	2013HN	16.46666667	14.33333333	22	8.466666667	2.05	6.166666667	3.666666667	88.63636364
C014	2013HN	18	11.66666667	16.66666667	8.15	1.666666667	5.5	2.5	88.95238095
W320	2013HN	22.83333333	9	18	8.633333333	2.2	6	2.833333333	88.97826087
W109	2013HN	19.6	7.666666667	24.33333333	9.3	3	6	4.333333333	89.21212121
W252	2013HN	24.36666667	10	17	11.5	3.516666667	6.666666667	3.166666667	89.36363636
C060	2013HN	21.6	8.666666667	17	9.8	2.616666667	6	2.666666667	90.2173913
C008	2013HN	22.9	11.66666667	27	8.766666667	2.066666667	6.333333333	2.5	90.4
W307	2013HN	22.8	8.666666667	20.33333333	10.35	2.783333333	5.5	3.333333333	90.76190476
C172	2013HN	17.63333333	9.333333333	24.66666667	8.333333333	2.316666667	5.833333333	3.833333333	91.66666667
W185	2013HN	23.26666667	8.666666667	24.33333333	11.51666667	3.683333333	5	3.666666667	91.8
W228	2013HN	22.7	10.33333333	17.33333333	9.283333333	2.3	5.666666667	2.333333333	92.38888889
W313	2013HN	20.5	10	28.33333333	11.53333333	3.8	5	3.833333333	92.7037037
W171	2013HN	20.7	9.333333333	24.66666667	10.41666667	2.983333333	5.833333333	3.833333333	92.81818182
W011	2013HN	18.96666667	7.666666667	26	9.633333333	2.866666667	5.166666667	4.333333333	92.84
C021	2013HN	19.33333333	9	17.66666667	11.73333333	2.966666667	6.166666667	3.166666667	93.07692308
W308	2013HN	18.86666667	9.666666667	14.66666667	10.8	2.816666667	6.5	3	93.73913043
W031	2013HN	21.83333333	10.66666667	26.33333333	9.966666667	2.833333333	5	3.333333333	94.78571429
C187	2013HN	23.06666667	11.66666667	27	8.133333333	1.75	5.666666667	2.833333333	95.5
C024	2013HN	18.7	9.333333333	25.66666667	9.816666667	2.783333333	5.5	3	95.58823529
W215	2013HN	20.66666667	8	20	10.38333333	2.933333333	6	4.166666667	95.79166667
C134	2013HN	20.6	11	32	8.2	2.425	5.5	5.25	96
W287	2013HN	21.9	8.333333333	23.33333333	8.95	2.45	5	3.166666667	96.25
W193	2013HN	19.6	10.66666667	19.66666667	6.933333333	1.833333333	5.833333333	2.833333333	96.25806452
W065	2013HN	22.16666667	12	23.33333333	9.266666667	2.366666667	5.833333333	2.666666667	96.57142857
C091	2013HN	24.6	8	20	10.93333333	3.3	5.833333333	3.833333333	97.3125
W089	2013HN	22.23333333	8.666666667	18.33333333	11	3.1	5.666666667	3.666666667	97.4047619
C002	2013HN	22.46666667	9.666666667	21	11.26666667	3.366666667	6.333333333	3.333333333	97.60714286
W150	2013HN	25.8	8.666666667	18.33333333	11.8	3.516666667	6.166666667	3.166666667	97.81818182
C153	2013HN	19.53333333	11.33333333	16.66666667	8.083333333	1.933333333	5.833333333	3.166666667	98
C138	2013HN	24.3	7.666666667	15	11.86666667	3.283333333	5.666666667	2.833333333	98.13333333
W250	2013HN	20.4	11	19.66666667	9.25	2.516666667	6	3.666666667	98.2962963
C195	2013HN	22.2	9.333333333	19.33333333	8.333333333	2.016666667	5.666666667	3	98.6
W100	2013HN	22.53333333	10.33333333	25	9.5	2.333333333	6	3.166666667	98.79452055
W255	2013HN	23.26666667	7	17	11.93333333	3.216666667	6	3.833333333	98.85714286
C169	2013HN	18.86666667	9	24	10.4	3.133333333	6	3.166666667	98.9375
W199	2013HN	24.9	7.666666667	19	12.83333333	3.716666667	6.166666667	3.333333333	98.94117647
C183	2013HN	22.9	9	28.33333333	11.98333333	3.216666667	5.5	3.666666667	99.3
C079	2013HN	21.13333333	7.666666667	23.33333333	8.6	1.716666667	5.833333333	3.833333333	99.33333333
W299	2013HN	20.76666667	9	26.33333333	9.266666667	2.116666667	5.666666667	3	99.65789474
C123	2013HN	20.9	7	21.33333333	10.93333333	3.616666667	5	4.333333333	99.83333333
W044	2013HN	21.3	9.666666667	21	8.916666667	2.066666667	5.5	2.166666667	99.9047619
W039	2013HN	23.1	10.66666667	26	11.05	2.683333333	6.333333333	3.333333333	100.2857143
C131	2013HN	23.56666667	10.33333333	28	12.36666667	2.666666667	6.833333333	3.666666667	100.46875
W149	2013HN	21.03333333	9.666666667	22.33333333	11.43333333	3.15	6	3	100.7307692
W017	2013HN	25.36666667	11.33333333	21.66666667	10.08333333	2.216666667	6.666666667	3	101
C056	2013HN	18.2	11.33333333	26.33333333	7.9	2.083333333	5.333333333	4.333333333	101.1111111
W245	2013HN	25.63333333	8.333333333	29	12.6	4.116666667	5	4.333333333	101.1290323
C198	2013HN	22.23333333	10	25	10.28333333	2.716666667	5.333333333	3	101.2857143
C069	2013HN	21.4	9.666666667	21.66666667	10.48333333	2.75	5	2.833333333	101.4705882
W205	2013HN	23.8	9.333333333	23.33333333	9.483333333	2.483333333	6.833333333	2.833333333	101.7037037
C068	2013HN	22.46666667	10	19.66666667	10.83333333	2.1	6.5	2.5	102.5
W152	2013HN	24.4	9	25.66666667	11.41666667	2.866666667	5.5	3	102.6956522
W204	2013HN	22.93333333	10.33333333	23	10.28333333	2.683333333	6.333333333	3.666666667	102.7272727
C115	2013HN	20.7	9	22.33333333	11.31666667	2.916666667	6	3.166666667	103.4545455
C063	2013HN	19.5	11.33333333	24.33333333	6.766666667	2.1	5.166666667	4.333333333	103.4545455
W312	2013HN	22.9	9	24.66666667	11.95	3.383333333	6	4.5	103.6818182
W120	2013HN	20.33333333	10.66666667	23.33333333	10.06666667	2.066666667	6.166666667	3.333333333	103.7333333
W075	2013HN	22.13333333	10.66666667	25.66666667	10.76666667	2.916666667	6	3.833333333	103.9375
W179	2013HN	19.83333333	8	21.66666667	11.63333333	3.683333333	5.833333333	4	104.0645161
W207	2013HN	21.93333333	10.66666667	21	8.933333333	2.35	5.833333333	3.666666667	104.8888889
C082	2013HN	23.76666667	10.66666667	19.33333333	9.516666667	2.383333333	6.166666667	3	105.1923077
W093	2013HN	22.9	8.333333333	18.66666667	10.38333333	3.033333333	5.833333333	3.333333333	105.8636364
C025	2013HN	16.96666667	10	25	8.216666667	1.75	6.166666667	3	106.952381
C176	2013HN	16.9	8.666666667	28	8.5	2.716666667	5.833333333	3.5	107.7083333
W060	2013HN	20.36666667	10.33333333	32.33333333	10.13333333	2.933333333	5.833333333	4.666666667	107.7804878
C118	2013HN	21.43333333	10	29	9.566666667	2.3	5.5	2.666666667	107.88
W202	2013HN	NA	NA	NA	NA	NA	NA	NA	107.9285714
W101	2013HN	25.1	9.666666667	38.33333333	11.1	2.8	6.666666667	3.333333333	108
C125	2013HN	24	9	22.33333333	11.55	2.666666667	6.666666667	3.333333333	108.0555556
