"Cultivar Name","Cultivar ID","Subpopulation","Heading Date (day)"
"K8C-263-3","W035","Indica Intermediate","105"
"Kao_Chio_Lin_Chou","W058","Indica I","85"
"Karayal","W092","Aus","103"
"Karnal_Local","W215","Aus","101"
"KECHENGNUO_NO._4","W085","Indica Intermediate","89"
"Khao_Daeng","W210","Indica I","87"
"Khao_Luang","W021","Japonica Intermediate","105"
"Khazar","W173","Tropical Japonica","93"
"Khoia_boro","W292","Aus","97"
"Kin_Shan_Zim","W124","Indica I","77"
"KRASNODARSKIJ_3352","W117","Temperate Japonica","69"
"KRASNODARSKIJ_424","W012","Temperate Japonica","67"
"KUBANETS_508","W045","Temperate Japonica","52"
"KUNTLAN","W302","Tropical Japonica","105"
"L301B","C157","Indica I","69"
"La110","W265","Indica Intermediate","88"
"LA_PLATA_GENA_F.A.","W136","VI/Aromatic","116"
"LABELLE","W294","Intermediate","104"
"Lakkhi_kajal","W277","Aus","102"
"Laoguangtou83","C016","Temperate Japonica","53"
"Laohudao","W202","Indica Intermediate","99"
"Laohuzhong","C071","Temperate Japonica","108"
"Laozaogu","W321","Indica III","117"
"Latisai1","W257","Tropical Japonica","102"
"LEBONNET","W295","Indica II","106"
"Leihuozhan","C183","Indica I","86"
"Lemont","W225","Tropical Japonica","105"
"Lengshuigu","C138","Temperate Japonica","99"
"Lengshuinuo","W322","Indica Intermediate","93"
"Li-Jiang-Xin-Tuan-Hei-Gu_","C004","Temperate Japonica","84"
"Liaogeng287","C028","Temperate Japonica","81"
"LimingB","C116","Temperate Japonica","85"
"Linjintangdao","W203","Indica Intermediate","105"
"Liusha1hao","C058","Indica I","87"
"Liushizao","C066","Indica I","74"
"Liuyezhan","C128","Indica I","86"
"Lixingeng","C087","Temperate Japonica","104"
"Longhuamaohu","C032","Temperate Japonica","72"
"Lua_Chua_Chan","W110","Tropical Japonica","128"
"Lucaihao","C033","Indica I","73"
"LUSITANO","W130","Temperate Japonica","69"
"M202","C014","Japonica Intermediate","78"
"M3122","W158","Intermediate","89"
"M401","W226","Temperate Japonica","85"
"Ma_ba_you_zhan","W282","Indica Intermediate","124"
"Maguzi","C177","Temperate Japonica","78"
"Mamagu-1","C104","Indica I","92"
"Mamagu-2","C108","Indica I","83"
"Manawthukha","W178","Indica III","119"
"Manga_Kely_694","W037","Indica Intermediate","110"
"Maweinian","C197","Indica I","89"
"Mayang_Khang","W001","Indica I","87"
"Meihuanuo-1","C091","Indica I","88"
"Meihuanuo-2","C092","Indica I","88"
"Mengguandamagu","W204","Indica I","93"
"menjiading2","C124","Indica Intermediate","92"
"Menjiagao1","C094","Indica Intermediate","108"
"Milyang23","W176","Indica II","105"
"MILYANG_23","C011","Indica II","109"
"Minbeiwanxian","C194","Indica Intermediate","104"
"Minghui63","C147","Indica II","100"
"Mitak","W067","Tropical Japonica","102"
"Moisdol","W278","Aus","103"
"Momi","C053","Indica Intermediate","110"
"MOROBEREKAN","C009","Indica Intermediate","93"
"Mowanggunei-1","C142","Indica III","113"
"Mowanggunei-2","C107","Indica III","112"
"MR185","W177","Indica II","102"
