ID	FlagLeafAngle_Hainan	FlagLeafAngle_Wuhan
C140	19.5	10.2
C141	40.3	9
C142	24	10.3
C143	23.3	19.5
C144	98.4	62.7
C145	11.5	17.3
C146	19.3	28.8
C147	18.3	14.2
C148	19.8	18.3
C149	16.7	47.2
C150	19.2	31.2
C151	24.2	21
C152	NA	NA
C153	16.8	37.3
C154	18.3	32
C155	21.2	24.7
C156	6.7	19.3
C157	5.8	25
C158	9.2	18.3
C159	8.3	20.8
C160	5	17
C161	17.5	20.3
C162	19.2	39.7
C163	14	18.2
C164	13.2	13
C165	20.8	16.5
C166	23.8	13.7
C167	15	12.2
C168	9.8	10.7
C169	6.3	12.2
C170	8.3	9
C171	22.5	91.7
C172	15.8	43
C173	17.2	20.7
C174	22.8	21.3
C175	12.7	18.3
C176	14.2	10.5
C177	55.8	61.7
C178	12	15.7
C179	75	26.2
C180	17.6	25.7
C181	65.8	68.7
C182	21.2	21.7
C183	27.3	28.3
C184	20	11.5
C185	56.8	138.3
C186	138.3	150.8
C187	29.3	26
C188	50.8	20.3
C189	70.8	29.7
C190	26.3	30.3
C191	37.3	14.8
C192	10.8	32
C193	18.7	21.8
C194	13.3	18.5
C195	82	8.8
C196	NA	NA
C197	52.7	12.3
C198	10.8	18
C199	23.2	13.2
C200	20.5	10.2
C201	NA	NA
C202	NA	NA
C203	NA	NA
W001	10.7	16
W002	47	49.7
W003	138.3	135
W004	31.2	11.7
W005	16.8	19.5
W006	55.2	28.5
W007	43.8	111.8
W008	42.3	70.8
W009	31	12.3
W010	75	121.7
W011	73.3	99.2
W012	23.3	35.3
W013	16.2	72
W014	30.5	23.5
W015	22.3	16.3
W016	30.8	47.5
W017	15.3	34.8
W018	26.7	26.2
W019	44	71.8
W020	13.4	23.5
W021	130	151.7
W022	34.3	13.8
W023	30.8	13
W024	141.2	142.8
W025	7.5	12
W026	29.6	54.3
W027	37.2	44.5
W028	22.2	18.2
W029	22	24.5
W030	NA	14.2
W031	32.5	15
W032	31.2	34.7
W033	28.8	50.5
W034	29	18.3
W035	16.3	77.3
W036	36.5	13.8
W037	17.7	16.7
W038	14	12.8
W039	17.5	25.1
W040	13.8	12.7
W041	24.2	42.5
W042	25	14.3
W043	11.9	11.8
W044	10.3	14.5
W045	21.7	23.3
W046	16.7	15.2
W047	NA	NA
W048	63	62
W049	10.2	17.5
W050	17.8	14.5
W051	17.2	15
W052	79.2	105
W053	29.8	76.5
W054	7.8	21
W055	42.7	43
W056	21.7	17.5
W057	31.8	16.5
W058	23.2	24.5
W059	15.8	21.5
W060	46.3	90
W061	41.7	73.4
W062	95.5	14.5
W063	40	122
W064	25	61.5
W065	26.2	33.8
W066	13	19
W067	83.8	103.5
W068	7.5	22.2
W069	14.5	15.7
W070	26.8	12.3
W071	22.5	14
W072	5.8	11.3
W073	8.8	9.7
W074	9.3	15.6
W075	15.3	20
W076	7.6	82.5
W077	15.2	12.2
W078	11.8	10.5
W079	18.3	12.8
W080	9.5	16.2
W081	94.2	119.2
W082	60	81.7
W083	10.7	19.8
W084	24.7	23.8
W085	12.3	11.3
W086	14.3	15.5
W087	5.8	16.2
W088	12	16
W089	27.5	33.7
W090	13.8	12.8
W091	21.3	22.5
W092	23.2	11.5
W093	36.5	35.2
W094	23.7	15.3
W095	35.2	14.3
W096	NA	19.7
W097	NA	12.5
W098	26.3	14.2
W099	21	20.5
W100	69.3	67.3
W101	13.3	10.7
W102	NA	134.8
W103	10	16.2
W104	17.5	21.7
W105	16	16.2
W106	11.3	12.7
W107	6.3	19.8
W108	16.7	62.4
W109	23.3	74.9
W110	74.7	20.2
W111	29.5	10.8
W112	18.7	10.2
W113	NA	38.7
W114	15.8	12.5
W115	18.8	9
W116	60	60.7
W117	28.3	81.3
W118	22.5	15.5
W119	10.7	17.3
W120	32.5	47.8
W121	20.8	20.3
W122	28.8	27.5
W123	24	46.2
W124	42	57.5
W125	17	70.8
W126	25.1	28.5
W127	98.3	42
W128	13	17.3
W129	25.7	14.5
W130	35	103.8
W131	37.3	16.3
W132	16.2	25
W133	22.2	22.3
W134	10	21.3
W135	18.5	13.3
W136	25.8	10.8
W137	15.8	14.8
W138	15.8	22.3
W139	78.3	102.5
W140	11.7	9.5
W141	NA	NA
W142	14	40.7
W143	73.3	50.2
W144	37.7	15.5
W145	12.2	11.2
W146	23.3	21.7
W147	28.6	35
W148	12.2	20.3
W149	6.7	11.5
W150	12.2	13.7
W151	NA	NA
W152	13.2	14.8
W153	13.3	12.7
W154	14.3	12.3
W155	11.3	14.8
W156	16	17.2
W157	14.5	13
W158	NA	NA
W159	11.5	12
W160	36.3	27.3
W161	21	15.3
W162	15.7	12
W163	20	11
W164	6	14.7
W165	21	15
W166	19.6	25.8
W167	23.8	28.5
W168	14.8	6.8
W169	16.3	13.7
W170	10	11
W171	5.3	11.3
W172	23.5	12
W173	22.3	23.2
W174	10	13.5
W175	28.7	18.3
W176	6.8	11.2
W177	6.4	11.8
W178	38.5	19.3
W179	17.2	13.7
W180	13.2	13.8
W181	16.8	17.8
W182	16.2	30.7
W183	9.8	9.8
W184	15.2	11.3
W185	12.5	13.2
W186	20.3	12.2
W187	23.8	14.8
W188	18.7	14.7
W189	14	10.3
W191	NA	14.5
W192	14.7	13.8
W193	19.8	26.3
W194	11.6	17.3
W195	14.8	13.7
W197	13.6	14.3
W198	88	18.8
W199	26.2	11.5
W200	12.6	14.2
W201	13	20
W202	14.3	14.7
W203	7.5	9.2
W204	22.7	22.8
W205	22	19.2
W206	17.3	11.8
W207	15.7	12.7
W208	6.8	9
W209	22.5	14.7
W210	25.2	64.5
W211	7.3	13
W212	22	16.8
W213	81.7	67.7
W214	19.7	27.2
W215	13	27.5
W216	14	13
W217	18.8	18.8
W218	44.5	21.8
W219	10	22.2
W220	12	14.5
W221	26.5	17.3
W222	15	9.2
W223	14.8	14
W224	13.2	17.8
W225	16	23.8
W226	34.2	NA
W227	15	16.8
W228	10.5	9.2
W229	13.3	13.8
W230	10	6
W231	14.5	14.5
W233	20.7	11.5
W234	12.6	11.5
W235	12.5	16.8
W236	10	15
W237	10.5	14.8
W238	6.2	10.7
W239	10.7	9.5
W240	14.6	17.8
W241	26.7	11.2
W242	12.7	10
W243	14.8	15.2
W244	10	15.7
W245	21	9.5
W246	12.5	21.7
W247	27.7	73.3
W248	9.2	12.3
W249	70.5	79.5
W250	30	93.3
W251	20.3	17.5
W252	14.8	12.8
W253	26.5	46.8
W254	33.3	47.2
W255	4.7	17.3
W256	52.5	18.3
W257	61.3	91.8
W258	25.8	19.5
W259	14.5	14.8
W260	45.3	34.8
W261	32	34
W262	6.5	18.7
W263	14.8	11.3
W264	14.5	10.7
W265	13.2	16
W266	14.2	13
W267	7.2	18.3
W268	16	12.7
W269	5.8	17.2
W270	18.8	25.5
W271	10.6	15.3
W272	5.8	18.8
W273	38.8	106.5
W274	5	23.2
W275	16.2	19.2
W276	8.8	12.3
W277	12.2	14.7
W278	11.5	14.8
W279	19	13
W280	3.5	8
W281	12.5	12.2
W282	10.8	8.2
W283	10	11.7
W284	78.4	135.7
W285	12	13.7
W286	13.5	9.8
W287	11.5	11.8
W288	37.7	27
W289	14	10.5
W290	NA	NA
W291	17.8	12.8
W292	23.3	14.2
W293	17.3	12.5
W294	50	81
W295	11	10.5
W296	16.5	17.8
W297	NA	NA
W298	13	22.7
W299	6.8	10.3
W300	20.6	25.3
W301	17.5	11.8
W302	26	23.8
W303	11.2	26.2
W304	10.6	16.7
W305	17	18.5
W306	28.5	16.7
W307	17	10.2
W308	18.3	15.7
W309	15.2	10.2
W310	19.2	11.3
W311	12.8	13.7
W312	13.7	11.2
W313	7.2	9.2
W314	19.2	27.7
W315	12.2	7
W316	11.7	11.8
W317	11.8	8
W318	26.7	47.2
W319	56.2	13.5
W320	27.7	11
W321	NA	NA
W322	10.5	17.3
W323	NA	NA
W324	7.5	123.3
W325	74.4	18.8
W326	47.8	34.2
W327	21.7	22
W328	30	NA
W329	15.3	30.7
W330	11.6	13
